arquivo,periodo_num,periodo,slug,titulo,autor,data_obra,licenca,credito,largura,altura,original_wxh,arquivo_commons,pagina_commons,resolvido_via,descricao
01-oriente-proximo_piramides-de-gize.jpg,01,oriente-proximo,piramides-de-gize,Pirâmides de Gizé,KennyOMG,2009-07-31,CC BY-SA 4.0,Own work,2000,833,10104x4210,Pyramids_of_the_Giza_Necropolis.jpg,https://commons.wikimedia.org/wiki/File:Pyramids_of_the_Giza_Necropolis.jpg,wiki,Pyramids of the Giza Necropolis .
01-oriente-proximo_portao-de-ishtar.jpg,01,oriente-proximo,portao-de-ishtar,Portão de Ishtar,LBM1948,2015-06-20 16:04:34,CC BY-SA 4.0,Own work,3628,2256,3628x2256,"Berlín,_Museo_de_Pérgamo_05.jpg","https://commons.wikimedia.org/wiki/File:Berl%C3%ADn,_Museo_de_P%C3%A9rgamo_05.jpg",wiki,"The Ishtar Gate; Pergamon Museum. Berlin, Germany"
01-oriente-proximo_rainha-da-noite.jpg,01,oriente-proximo,rainha-da-noite,Relevo Burney (Rainha da Noite),Gennadii Saus i Segura,2022-12-18,CC BY-SA 4.0,Own work,2000,2666,7501x10000,Relieve_Reina_de_la_Noche_(ca._1800_a.C).jpg,https://commons.wikimedia.org/wiki/File:Relieve_Reina_de_la_Noche_(ca._1800_a.C).jpg,wiki,Relieve Reina de la Noche (ca. 1800 a.C)
01-oriente-proximo_relevo-de-laquis.jpg,01,oriente-proximo,relevo-de-laquis,Relevo do Cerco de Laquis,Photograph by Mike Peel ( www.mikepeel.net ).,2010-09-12,CC BY-SA 4.0,Own work,2592,3888,2592x3888,"Lachish Relief, British Museum 6.jpg","https://commons.wikimedia.org/wiki/File:Lachish_Relief,_British_Museum_6.jpg",search,
01-oriente-proximo_sarcofago-de-ahiram.jpg,01,oriente-proximo,sarcofago-de-ahiram,Sarcófago de Ahiram (alfabeto fenício),"Matson Photo Service, photographer, published in 1936",1936-08,Public domain,This image is available from the United States Library of Congress 's Prints and Photographs division under the digital ID matpc.03491 . This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing .,2000,1380,5299x3656,Ahiram_sarcophag_from_Biblos_XIII-XBC.jpg,https://commons.wikimedia.org/wiki/File:Ahiram_sarcophag_from_Biblos_XIII-XBC.jpg,wiki,"Sarcophagus of Ahiram, King of Biblos (Phoenicia) in XIII-X c. BC. Kept in Beirut National Museum. Sarcophagus made in around 1000 BC."
01-oriente-proximo_tabua-do-diluvio.jpg,01,oriente-proximo,tabua-do-diluvio,Tábua do Dilúvio (Épico de Gilgamesh),Photograph by Mike Peel ( www.mikepeel.net ).,2010-06-27,CC BY-SA 4.0,Own work,2493,2686,2493x2686,British Museum Flood Tablet 1.jpg,https://commons.wikimedia.org/wiki/File:British_Museum_Flood_Tablet_1.jpg,search,"""The Flood Tablet. This is perhaps the most famous of all cuneiform tablets. It is the eleventh tablet of the Gilgamesh Epic, and describes how the gods sent a flood to destroy the world. Like Noah, Utnapishtim was forewarned and built an ark to house and preserve living things. After the flood he sent out birds to look for dry land. ME K 3375."" In the British Museum ."
01-oriente-proximo_ziggurat-de-ur.jpg,01,oriente-proximo,ziggurat-de-ur,Zigurate de Ur,Tla2006 at English Wikipedia,8 July 2006 (original upload date),Public domain,Transferred from en.wikipedia to Commons.,3366,1468,3366x1468,Ziggarat_of_Ur_001.jpg,https://commons.wikimedia.org/wiki/File:Ziggarat_of_Ur_001.jpg,wiki,Original photo taken 1 July 2006.
02-grecia_afresco-touros-cnossos.jpg,02,grecia,afresco-touros-cnossos,"Afresco da Tauromaquia (Cnossos, minoico)",Gleb Simonov,2024-01-30,Public domain,Own work,2000,1078,7008x3776,Knossos_bull_leaping_fresco.jpg,https://commons.wikimedia.org/wiki/File:Knossos_bull_leaping_fresco.jpg,wiki,Knossos bull leaping fresco
02-grecia_anfora-de-exequias.jpg,02,grecia,anfora-de-exequias,Ânfora de Exéquias (Aquiles e Ájax jogando dados),Daderot,2019-04-06 04:48:03,Public domain,Own work,3648,5472,3648x5472,"Achilles and Ajax playing dice, Attic black-figured amphora, signed by Exekias as both painter and potter, 540-530 BC, inv. 16757 - Museo Gregoriano Etrusco - Vatican Museums - DSC01049.jpg","https://commons.wikimedia.org/wiki/File:Achilles_and_Ajax_playing_dice,_Attic_black-figured_amphora,_signed_by_Exekias_as_both_painter_and_potter,_540-530_BC,_inv._16757_-_Museo_Gregoriano_Etrusco_-_Vatican_Museums_-_DSC01049.jpg",search,Exhibit in the Museo Gregoriano Etrusco - Vatican Museums.
02-grecia_auriga-de-delfos.jpg,02,grecia,auriga-de-delfos,Auriga de Delfos,Gunnar Bach Pedersen,2007-02,Public domain,Self-photographed,2288,1712,2288x1712,Vognstyreren-fra_Delfi2.jpg,https://commons.wikimedia.org/wiki/File:Vognstyreren-fra_Delfi2.jpg,wiki,Charioteer of Delphi
